Natural Gas Proved reserves total (tonnes oil equivalent),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Algeria,"3,34,89,00,000","3,31,02,00,000","3,25,17,00,000","3,17,79,00,000","3,09,78,00,000","3,01,41,00,000","2,93,31,00,000","2,84,67,00,000","2,91,06,00,000","2,92,50,00,000","2,97,00,00,000","3,26,34,00,000","3,28,50,00,000","3,33,00,00,000","2,66,67,00,000","3,32,10,00,000","3,33,00,00,000","3,66,93,00,000","3,66,93,00,000","4,06,80,00,000","4,07,07,00,000","4,07,07,00,000","4,07,07,00,000","4,09,05,00,000","4,09,05,00,000","4,05,37,80,000","4,05,37,80,000","4,05,36,00,000","4,05,36,00,000"
Argentina,"57,69,00,000","58,32,00,000","62,28,00,000","61,11,00,000","60,12,00,000","61,29,00,000","60,39,00,000","62,37,00,000","69,57,00,000","60,39,00,000","59,40,00,000","57,87,00,000","48,69,00,000","46,53,00,000","48,15,00,000","55,71,00,000","57,78,00,000","61,56,00,000","61,83,00,000","65,61,00,000","70,02,00,000","68,76,00,000","59,76,00,000","55,08,00,000","48,78,00,000","39,51,00,000","40,14,00,000","39,78,00,000","39,78,00,000"
Australia,"16,30,80,000","41,12,10,000","41,90,40,000","45,64,80,000","67,80,60,000","69,03,00,000","79,82,10,000","96,21,00,000","99,64,80,000","90,38,70,000","84,76,20,000","87,08,40,000","86,29,20,000","92,15,10,000","1,17,14,40,000","1,05,76,20,469","1,14,43,80,469","1,24,18,50,469","1,48,92,60,469","1,80,27,30,469","1,89,09,30,469","2,30,85,30,469","2,18,34,30,469","2,24,28,30,469","2,07,09,30,469","2,09,43,30,469","2,14,71,49,498","2,17,33,88,957","2,25,88,73,074"
Azerbaijan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"73,30,31,676","73,30,31,676","1,11,58,37,107","1,11,58,37,107","1,11,58,37,107","1,11,58,37,107","1,11,58,37,107","1,11,58,37,107","1,09,95,47,514","1,09,95,47,514","1,04,66,06,337","1,07,91,85,523"
Bahrain,"20,97,00,000","20,25,00,000","19,98,00,000","19,62,00,000","19,26,00,000","18,81,00,000","18,36,00,000","17,82,00,000","17,10,00,000","16,47,00,000","15,93,00,000","15,57,00,000","15,03,00,000","14,31,00,000","13,77,00,000","13,23,00,000","12,78,00,000","12,78,00,000","12,78,00,000","10,62,00,000","9,90,00,000","9,90,00,000","9,90,00,000","8,28,00,000","8,10,00,000","8,10,00,000","8,10,00,000","7,65,00,000","7,65,00,000"
Bangladesh,"25,74,00,000","28,53,00,000","30,51,00,000","27,99,00,000","31,77,00,000","31,77,00,000","31,86,00,000","31,86,00,000","31,50,00,000","65,25,00,000","65,25,00,000","64,80,00,000","27,27,00,000","26,73,00,000","27,09,00,000","24,48,00,000","27,00,00,000","26,73,00,000","26,73,00,000","29,07,00,000","27,54,00,000","30,60,00,000","30,60,00,000","38,97,00,000","37,98,00,000","36,63,00,000","34,47,00,000","33,66,00,000","33,30,00,000"
Bolivia,"10,98,00,000","13,86,00,000","13,14,00,000","12,06,00,000","11,25,00,000","11,61,00,000","12,33,00,000","12,78,00,000","13,23,00,000","10,44,00,000","10,17,00,000","10,44,00,000","10,80,00,000","10,62,00,000","9,72,00,000","11,43,00,000","9,72,00,000","10,62,00,000","13,50,00,000","46,62,00,000","60,75,00,000","69,75,00,000","73,17,00,000","70,38,00,000","68,13,00,000","66,60,00,000","66,60,00,000","63,90,00,000","63,90,00,000"
Brazil,"4,69,84,500","5,31,90,000","6,38,28,000","7,26,93,000","7,44,66,000","8,24,44,500","8,51,04,000","9,30,82,500","9,66,28,500","10,28,34,000","10,19,47,500","10,99,26,000","11,79,04,500","12,14,50,500","12,94,29,000","13,65,21,000","14,00,67,000","20,21,22,000","20,03,49,000","20,47,81,500","19,59,16,500","19,48,88,160","21,67,90,916","21,74,93,910","28,90,73,466","27,16,19,168","30,84,16,010","24,42,30,750","29,40,52,050"
Brunei,"18,63,00,000","19,08,00,000","19,89,00,000","19,62,00,000","21,42,00,000","21,42,00,000","30,60,00,000","29,79,00,000","28,98,00,000","28,53,00,000","29,79,00,000","35,64,00,000","36,00,00,000","36,00,00,000","36,00,00,000","36,00,00,000","36,00,00,000","35,19,00,000","34,38,00,000","33,66,00,000","32,94,00,000","32,04,00,000","31,50,00,000","31,05,00,000","30,87,00,000","30,60,00,000","29,79,00,000","30,87,00,000","31,50,00,000"
Canada,"2,24,28,00,000","2,30,67,00,000","2,33,19,00,000","2,35,17,00,000","2,52,81,00,000","2,50,56,00,000","2,47,14,00,000","2,42,37,00,000","2,40,39,00,000","2,45,88,00,000","2,45,25,00,000","2,43,99,00,000","2,40,48,00,000","2,00,88,00,000","1,70,82,00,000","1,73,61,00,000","1,74,78,00,000","1,62,81,00,000","1,57,32,00,000","1,54,71,00,000","1,51,47,00,000","1,52,46,00,000","1,49,76,00,000","1,44,27,00,000","1,44,00,00,000","1,46,93,04,000","1,47,57,40,800","1,47,04,41,600","1,47,04,41,600"
