Oil Consumption per capita (tonnes per year),1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Algeria,0.108110356770887,0.138431753840377,0.125510742423084,0.12992970046183,0.133069263938799,0.147822832298561,0.16151474856255,0.172184008954664,0.181964688486618,0.195566426655472,0.210885184004814,0.234496114302007,0.257789157997334,0.256514189473034,0.297712753113515,0.290731069295477,0.302894346039071,0.310763803187635,0.33767175637043,0.362057325432148,0.360480250560473,0.355022132628235,0.348655275323558,0.339834385656359,0.346723095820108,0.361908934446972,0.349741771870719,0.343136178824518,0.334156511342716,0.312420205825458,0.298074434908945,0.279988904658046,0.273091771248402,0.276911934186556,0.269444078061039,0.278314277473309,0.283872547003904,0.30990544830571,0.317546244277728,0.32713866827213,0.33566180028739,0.344978314237016,0.380591215192438,0.407019826985153,0.426321269757559,0.42009452521537
Argentina,0.984543492406116,1.00247493459026,1.01216211451579,1.01975890842098,1.04463015176671,0.914884396088321,0.963689487932631,0.934253625456262,0.919387636847077,0.901413470894421,0.840224932723912,0.864426282303408,0.890845099089834,0.856462628412166,0.910406134453587,0.814758359449206,0.75619116196065,0.721318462152763,0.718249775629718,0.704119764507675,0.626337539664969,0.664698018083421,0.6962628701259,0.685931193196914,0.614064490845468,0.56086490097769,0.584917092225051,0.584942950098752,0.575951381369597,0.564433507245946,0.559142462694189,0.577037855151256,0.592609325920822,0.610771237196704,0.574532260708914,0.54886571497991,0.512276568975336,0.454280626300211,0.462037420820699,0.479932879817932,0.508693841608841,0.526753639120692,0.589127111298787,0.609841095516784,0.591576106016429,0.635943800978195
Australia,1.48788315390031,1.55970520538701,1.66597111055407,1.79800071387823,1.88042367771698,1.92098559107606,1.98670341589333,1.94788883646807,2.09364857567542,2.12135832088229,2.05771242221572,2.11615103048807,2.18001174452599,2.14151123486698,2.15101783819715,2.0184340932424,1.96059351976062,1.88065131052924,1.77788908606979,1.83087960266001,1.70666897376235,1.75271571349472,1.75629834206441,1.80421949836877,1.84309786165522,1.84719919153742,1.77891881896002,1.76206136078623,1.84369823165963,1.89969566703557,1.94768681765558,1.96101047198697,1.99944367531,1.97668754501631,2.00676655674768,1.96776817540025,1.96603190516984,1.93684458380566,1.92917179936412,1.92954742635505,1.95252740703565,1.99641337534006,1.97595983482566,1.97366687650081,1.92673828775973,1.91302610912404
Austria,0.761418351503127,0.829780760381661,0.88252421231213,1.01601154680286,1.11053190077903,1.21498952304261,1.35067529096469,1.451278149156,1.5668874603709,1.39805957628528,1.40951412799739,1.53247172637814,1.46614114212223,1.5856841715732,1.65472316669338,1.61456168253542,1.46414029342983,1.38787362488622,1.34027400804085,1.30049689046161,1.30099114757208,1.37064176995461,1.40665981573679,1.38867430321383,1.36001857202897,1.40616409880278,1.50578198779545,1.45611065721039,1.45555431541687,1.42699179362544,1.4199261456944,1.46260318493997,1.48779039667678,1.54348287518852,1.51089071165407,1.47275754580552,1.59258964381326,1.61325062702128,1.737840128789,1.68039960159075,1.72129040659382,1.71577941712574,1.61183511049567,1.60888421524068,1.55323306058959,1.54879096611674
Azerbaijan,,,,,,,,,,,,,,,,,,,,,1.22950739795846,1.26906437531601,1.17681076871215,1.18746019147009,1.14079275729708,1.17878023631625,1.11919776951977,1.07374167749474,1.05592710995329,0.945795389280073,0.84651268455406,0.756120535708595,0.71294157012934,0.745017834287571,0.711752448468227,0.779831834967117,0.487214495479685,0.442619379216961,0.509984023604429,0.539997556508109,0.622620053186448,0.559487154204819,0.509692085216526,0.373484950131938,0.352943615933816,0.35917260997566
Bangladesh,,,,,,,,0.011057253215583,0.012707926004532,0.013900168900708,0.015853862692345,0.016751343296048,0.016058829594348,0.016906294770951,0.018112719474081,0.019745877747243,0.019340372408462,0.017227126427474,0.015275589121503,0.017678144094107,0.018594853659694,0.018033124191627,0.01724327458406,0.018438508752575,0.01946794240025,0.018136728817788,0.015737400830365,0.016538814433731,0.018509401089045,0.01891203396796,0.024258012923852,0.024122669838063,0.027122571460356,0.029614589672473,0.02581459815683,0.024824010536122,0.02938354809155,0.028867975842777,0.029234932296849,0.029062260609637,0.032392540804465,0.031548222817869,0.03154276034398,0.031890914315056,0.032646366498516,0.03228146619272
Belarus,,,,,,,,,,,,,,,,,,,,,2.52037730048188,2.96140896243853,2.91409164190428,2.80999891526319,2.62131889312658,2.41732214392234,2.33360383691143,1.99087651681379,1.40981713439888,1.14707610233508,1.01350650963561,0.961407620236474,0.864530551678681,0.846377260185152,0.74726555025675,0.693590354162586,0.727186629916052,0.710401276353624,0.725050708681361,0.753334393559229,0.7195854048131,0.81509095541568,0.782568007246541,0.795811042394705,0.965129157112234,0.687828079664248
Brazil,0.176302634195746,0.186982988664009,0.188159111943781,0.220351425236826,0.235884712773634,0.262122049947926,0.283981713630916,0.318835564889497,0.385539128572134,0.406604161650075,0.41073572535798,0.432290190346961,0.434223052644817,0.466873945607033,0.48497842334732,0.463188872039623,0.432233861005651,0.429427051112777,0.408232089793957,0.408287012900715,0.410757102458595,0.444831306044814,0.446269974555919,0.449366003938648,0.448838451378552,0.429381774456094,0.42785628882342,0.440088393933212,0.440061992858272,0.453921477758914,0.470215861950907,0.494678133335715,0.520341235236458,0.531384410459485,0.538166266267343,0.525159651644289,0.525169556114929,0.511050619405318,0.483375122987651,0.480579001929137,0.484690305954402,0.493850675636888,0.525743488720705,0.549986565174316,0.553696649859455,0.599651788515833
Bulgaria,0.451238070743939,0.511280163987124,0.638590085348358,0.751659915647054,0.916979240898602,1.0584750326636,1.15780851633787,1.19685632567436,1.25597060688421,1.29978302009261,1.37202194409489,1.41989560323518,1.47162368691425,1.51129944625035,1.55348570003171,1.57670182686162,1.40148185583334,1.35324311712552,1.30162357234248,1.24711924054716,1.1564193943206,1.21931245336585,1.17306413947063,1.24809883597122,1.22174785535091,1.00080338681119,0.673221675679175,0.6893774380774,0.722648220950951,0.684026016183961,0.667853429806104,0.678350361192557,0.539887250658941,0.590262283580746,0.55199917788939,0.489748016464327,0.507061045242805,0.571163153236182,0.666189037740126,0.608921606638953,0.637282169860507,0.678976060924479,0.692317941625984,0.713568466730828,0.74244226914752,0.560423530742967
Canada,2.73579562562363,2.82451532475501,2.9541699787634,3.08034945629876,3.1455867607508,3.29762297533414,3.33461369654829,3.46377728997323,3.61053197629698,3.62850218893434,3.50561950010785,3.64860230721696,3.64246798022114,3.66859878062061,3.77313737810064,3.67527255463788,3.40042444344332,3.01258628111788,2.78981040450074,2.78849564937511,2.75506462433252,2.72649089072931,2.79229088509912,2.89377011763698,2.96334127055622,2.88121081032375,2.683756524777,2.70494475441942,2.68647595174822,2.70426121078428,2.72246773370311,2.77622823599931,2.85518623266103,2.88052336636296,2.86965205135641,2.87161939084105,2.92354151335947,2.94807892160174,3.03455753539184,3.15055235625409,3.10800472056656,3.05263859746381,3.11810651522042,3.06138231587814,2.88340633211472,3.00735585130469
Chile,0.385640138368329,0.417673558280378,0.428348883803145,0.444235100581399,0.465201630812028,0.479975509450621,0.53081380821329,0.541610626690644,0.50111510244431,0.48001822997152,0.413288184526552,0.423209473459876,0.433592282206634,0.454672944668484,0.468104376930204,0.452999633145439,0.44578806500487,0.428635599362,0.408896983740241,0.397709508977394,0.3798558298867,0.393155008835428,0.404108018816305,0.440730365293379,0.485177315868802,0.502509095323632,0.50918457121603,0.537417717735874,0.575043128234618,0.621521577945226,0.671297157358772,0.725594122906322,0.754175966395773,0.758552903413102,0.752385327383143,0.701434906503448,0.674369720972559,0.661556383300016,0.656336833441386,0.687673771149382,0.720562656984911,0.744968159858864,0.969642440378774,0.999897949420422,0.920042579098744,0.85896155171229
China,0.01543031063375,0.019343017476284,0.018590871609998,0.019748813130761,0.025718509356359,0.03460619890624,0.04594518482645,0.051497776126098,0.061288497933625,0.068959819058884,0.074586825623749,0.08383609355873,0.087221000554268,0.095291891134592,0.093900176989465,0.08681199058919,0.081407285055826,0.079305362053879,0.079783201886773,0.081333300654812,0.085003565099474,0.089097326766635,0.092969629628838,0.098012390285668,0.100985771873866,0.098538656598584,0.104968169468899,0.112634092301075,0.122640303863001,0.12327192457998,0.131949560794579,0.14174628574431,0.158377042208389,0.157760465399826,0.166421462765736,0.176209165150138,0.178328784239634,0.192397929786113,0.210077859069519,0.245178175994596,0.250694908632628,0.263274148072596,0.274536178619099,0.28285532099976,0.2908063779493,0.31953236898534
